ENSG00000090861	AARS
ENSG00000275700	AATF
ENSG00000204574	ABCF1
ENSG00000146109	ABT1
ENSG00000167315	ACAA2
ENSG00000100813	ACIN1
ENSG00000130402	ACTN4
ENSG00000164113	ADAD1
ENSG00000140955	ADAD2
ENSG00000160710	ADAR
ENSG00000197381	ADARB1
ENSG00000185736	ADARB2
ENSG00000087274	ADD1
ENSG00000156110	ADK
ENSG00000164252	AGGF1
ENSG00000124942	AHNAK
ENSG00000111732	AICDA
ENSG00000164022	AIMP1
ENSG00000121057	AKAP1
ENSG00000105127	AKAP8
ENSG00000011243	AKAP8L
ENSG00000059573	ALDH18A1
ENSG00000119711	ALDH6A1
ENSG00000091542	ALKBH5
ENSG00000183684	ALYREF
ENSG00000131503	ANKHD1
ENSG00000132466	ANKRD17
ENSG00000182718	ANXA2
ENSG00000164062	APEH
ENSG00000166181	API5
ENSG00000111701	APOBEC1
ENSG00000124701	APOBEC2
ENSG00000128383	APOBEC3A
ENSG00000179750	APOBEC3B
ENSG00000244509	APOBEC3C
ENSG00000243811	APOBEC3D
ENSG00000128394	APOBEC3F
ENSG00000239713	APOBEC3G
ENSG00000100298	APOBEC3H
ENSG00000173627	APOBEC4
ENSG00000021776	AQR
ENSG00000095139	ARCN1
ENSG00000076928	ARHGEF1
ENSG00000182196	ARL6IP4
ENSG00000138303	ASCC1
ENSG00000112249	ASCC3
ENSG00000130707	ASS1
ENSG00000152234	ATP5A1
ENSG00000165629	ATP5C1
ENSG00000124788	ATXN1
ENSG00000224470	ATXN1L
ENSG00000204842	ATXN2
ENSG00000168488	ATXN2L
ENSG00000107949	BCCIP
ENSG00000186666	BCDIN3D
ENSG00000029363	BCLAF1
ENSG00000122870	BICC1
ENSG00000197299	BLM
ENSG00000165733	BMS1
ENSG00000152430	BOLL
ENSG00000261236	BOP1
ENSG00000113460	BRIX1
ENSG00000130303	BST2
ENSG00000145741	BTF3
ENSG00000137656	BUD13
ENSG00000112578	BYSL
ENSG00000082153	BZW1
ENSG00000175573	C11orf68
ENSG00000087302	C14orf166
ENSG00000100802	C14orf93
ENSG00000188549	C15orf52
ENSG00000103550	C16orf88
ENSG00000074356	C17orf85
ENSG00000143633	C1orf131
ENSG00000143793	C1orf35
ENSG00000162642	C1orf52
ENSG00000100220	C22orf28
ENSG00000123838	C4BPA
ENSG00000146540	C7orf50
ENSG00000198917	C9orf114
ENSG00000179218	CALR
ENSG00000127022	CANX
ENSG00000135387	CAPRIN1
ENSG00000108349	CASC3
ENSG00000153113	CAST
ENSG00000060339	CCAR1
ENSG00000181378	CCDC108
ENSG00000007080	CCDC124
ENSG00000185298	CCDC137
ENSG00000108588	CCDC47
ENSG00000133773	CCDC59
ENSG00000152133	CCDC75
ENSG00000110104	CCDC86
ENSG00000105321	CCDC9
ENSG00000115484	CCT4
ENSG00000146731	CCT6A
ENSG00000117877	CD3EAP
ENSG00000168438	CDC40
ENSG00000179604	CDC42EP4
ENSG00000115816	CEBPZ
ENSG00000149187	CELF1
ENSG00000048740	CELF2
ENSG00000159409	CELF3
ENSG00000101489	CELF4
ENSG00000161082	CELF5
ENSG00000140488	CELF6
ENSG00000173575	CHD2
ENSG00000170004	CHD3
ENSG00000085872	CHERP
ENSG00000160679	CHTOP
ENSG00000099622	CIRBP
ENSG00000141076	CIRH1A
ENSG00000145354	CISD2
ENSG00000136026	CKAP4
ENSG00000179335	CLK3
ENSG00000074201	CLNS1A
ENSG00000184220	CMSS1
ENSG00000169714	CNBP
ENSG00000125107	CNOT1
ENSG00000080802	CNOT4
ENSG00000198791	CNOT7
ENSG00000155508	CNOT8
ENSG00000168275	COA6
ENSG00000187955	COL14A1
ENSG00000102879	CORO1A
ENSG00000137449	CPEB2
ENSG00000107864	CPEB3
ENSG00000113742	CPEB4
ENSG00000085719	CPNE3
ENSG00000111605	CPSF6
ENSG00000149532	CPSF7
ENSG00000099942	CRKL
ENSG00000060138	CSDA
ENSG00000009307	CSDE1
ENSG00000159176	CSRP1
ENSG00000160213	CSTB
ENSG00000101138	CSTF1
ENSG00000101811	CSTF2
ENSG00000177613	CSTF2T
ENSG00000044115	CTNNA1
ENSG00000150316	CWC15
ENSG00000132676	DAP3
ENSG00000115866	DARS
ENSG00000188120	DAZ1
ENSG00000205944	DAZ2
ENSG00000187191	DAZ3
ENSG00000205916	DAZ4
ENSG00000071626	DAZAP1
ENSG00000092345	DAZL
ENSG00000138231	DBR1
ENSG00000164934	DCAF13
ENSG00000161634	DCD
ENSG00000011465	DCN
ENSG00000151065	DCP1B
ENSG00000079785	DDX1
ENSG00000178105	DDX10
ENSG00000100201	DDX17
ENSG00000088205	DDX18
ENSG00000168872	DDX19A
ENSG00000157349	DDX19B
ENSG00000064703	DDX20
ENSG00000165732	DDX21
ENSG00000174243	DDX23
ENSG00000089737	DDX24
ENSG00000109832	DDX25
ENSG00000124228	DDX27
ENSG00000182810	DDX28
ENSG00000125485	DDX31
ENSG00000123136	DDX39A
ENSG00000198563	DDX39B
ENSG00000215301	DDX3X
ENSG00000067048	DDX3Y
ENSG00000152670	DDX4
ENSG00000183258	DDX41
ENSG00000198231	DDX42
ENSG00000080007	DDX43
ENSG00000145833	DDX46
ENSG00000213782	DDX47
ENSG00000105671	DDX49
ENSG00000108654	DDX5
ENSG00000107625	DDX50
ENSG00000185163	DDX51
ENSG00000278053	DDX52
ENSG00000184735	DDX53
ENSG00000123064	DDX54
ENSG00000111364	DDX55
ENSG00000136271	DDX56
ENSG00000107201	DDX58
ENSG00000118197	DDX59
ENSG00000110367	DDX6
ENSG00000137628	DDX60
ENSG00000181381	DDX60L
ENSG00000124795	DEK
ENSG00000128191	DGCR8
ENSG00000109606	DHX15
ENSG00000204560	DHX16
ENSG00000067248	DHX29
ENSG00000132153	DHX30
ENSG00000005100	DHX33
ENSG00000174953	DHX36
ENSG00000163214	DHX57
ENSG00000108771	DHX58
ENSG00000067596	DHX8
ENSG00000135829	DHX9
ENSG00000131504	DIAPH1
ENSG00000100697	DICER1
ENSG00000117597	DIEXF
ENSG00000086189	DIMT1
ENSG00000130826	DKC1
ENSG00000132837	DMGDH
ENSG00000104129	DNAJC17
ENSG00000105821	DNAJC2
ENSG00000168724	DNAJC21
ENSG00000256453	DND1
ENSG00000067334	DNTTIP2
ENSG00000203909	DPPA5
ENSG00000113360	DROSHA
ENSG00000096696	DSP
ENSG00000167264	DUS2L
ENSG00000144048	DUSP11
ENSG00000128951	DUT
ENSG00000197102	DYNC1H1
ENSG00000144635	DYNC1LI1
ENSG00000198919	DZIP3
ENSG00000117395	EBNA1BP2
ENSG00000107223	EDF1
ENSG00000156508	EEF1A1
ENSG00000167658	EEF2
ENSG00000108883	EFTUD2
ENSG00000173674	EIF1AX
ENSG00000055332	EIF2AK2
ENSG00000092847	EIF2C1
ENSG00000123908	EIF2C2
ENSG00000126070	EIF2C3
ENSG00000134698	EIF2C4
ENSG00000134001	EIF2S1
ENSG00000125977	EIF2S2
ENSG00000107581	EIF3A
ENSG00000106263	EIF3B
ENSG00000184110	EIF3C
ENSG00000100353	EIF3D
ENSG00000130811	EIF3G
ENSG00000147677	EIF3H
ENSG00000100129	EIF3L
ENSG00000161960	EIF4A1
ENSG00000156976	EIF4A2
ENSG00000141543	EIF4A3
ENSG00000063046	EIF4B
ENSG00000114867	EIF4G1
ENSG00000110321	EIF4G2
ENSG00000075151	EIF4G3
ENSG00000106682	EIF4H
ENSG00000158417	EIF5B
ENSG00000006744	ELAC2
ENSG00000066044	ELAVL1
ENSG00000107105	ELAVL2
ENSG00000196361	ELAVL3
ENSG00000162374	ELAVL4
ENSG00000126749	EMG1
ENSG00000074800	ENO1
ENSG00000120658	ENOX1
ENSG00000165675	ENOX2
ENSG00000132591	ERAL1
ENSG00000163161	ERCC3
ENSG00000117419	ERI3
ENSG00000089048	ESF1
ENSG00000104413	ESRP1
ENSG00000103067	ESRP2
ENSG00000120705	ETF1
ENSG00000182944	EWSR1
ENSG00000171824	EXOSC10
ENSG00000123737	EXOSC9
ENSG00000092820	EZR
ENSG00000048828	FAM120A
ENSG00000184083	FAM120C
ENSG00000163946	FAM208A
ENSG00000105058	FAM32A
ENSG00000112773	FAM46A
ENSG00000119812	FAM98A
ENSG00000187790	FANCM
ENSG00000169710	FASN
ENSG00000164896	FASTK
ENSG00000138399	FASTKD1
ENSG00000118246	FASTKD2
ENSG00000124279	FASTKD3
ENSG00000215251	FASTKD5
ENSG00000105202	FBL
ENSG00000119616	FCF1
ENSG00000160752	FDPS
ENSG00000145216	FIP1L1
ENSG00000100442	FKBP3
ENSG00000004478	FKBP4
ENSG00000196924	FLNA
ENSG00000162076	FLYWCH2
ENSG00000102081	FMR1
ENSG00000102531	FNDC3A
ENSG00000075420	FNDC3B
ENSG00000109536	FRG1
ENSG00000075618	FSCN1
ENSG00000108592	FTSJ3
ENSG00000137200	FTSJD2
ENSG00000162613	FUBP1
ENSG00000107164	FUBP3
ENSG00000089280	FUS
ENSG00000114416	FXR1
ENSG00000129245	FXR2
ENSG00000145907	G3BP1
ENSG00000138757	G3BP2
ENSG00000089597	GANAB
ENSG00000109534	GAR1
ENSG00000082516	GEMIN5
ENSG00000168827	GFM1
ENSG00000108010	GLRX3
ENSG00000105373	GLTSCR2
ENSG00000204628	GNB2L1
ENSG00000134697	GNL2
ENSG00000163938	GNL3
ENSG00000130119	GNL3L
ENSG00000173230	GOLGB1
ENSG00000204438	GPANK1
ENSG00000092978	GPATCH2
ENSG00000198746	GPATCH3
ENSG00000160818	GPATCH4
ENSG00000186566	GPATCH8
ENSG00000068394	GPKOW
ENSG00000177885	GRB2
ENSG00000030582	GRN
ENSG00000132463	GRSF1
ENSG00000105447	GRWD1
ENSG00000103342	GSPT1
ENSG00000189369	GSPT2
ENSG00000197265	GTF2E2
ENSG00000125651	GTF2F1
ENSG00000100226	GTPBP1
ENSG00000105793	GTPBP10
ENSG00000107937	GTPBP4
ENSG00000170627	GTSF1
ENSG00000124196	GTSF1L
ENSG00000189060	H1F0
ENSG00000130956	HABP4
ENSG00000138029	HADHB
ENSG00000105856	HBP1
ENSG00000143321	HDGF
ENSG00000115677	HDLBP
ENSG00000119285	HEATR1
ENSG00000163312	HELQ
